,user,text,favorite_count,retweet_count,created_at
125,ChennaiIPL,"Now Playing @ Wankhede 🎶

🔊 Polakkatam Para Para ft. 
𝑯𝒐𝒐𝒅𝒂 &amp; 𝑨𝒙𝒂𝒓

#INDvSL #WhistlePodu 🦁💛
📸 : @BCCI https://t.co/06oxFXyerz",2942,142,2023-01-03 15:13:43+00:00
126,ChennaiIPL,"All ‘Bhau-t today's super step up in the #RanjiTrophy 👏

#WhistlePodu #Yellove 🦁💛 https://t.co/OvmIFYpFdy",2610,124,2023-01-03 13:10:33+00:00
127,ChennaiIPL,"Blue us away with the 🏏 action! 🇮🇳

#INDvSL #WhistlePodu #Yellove 🦁💛 https://t.co/ZiHIh7x6hF",5478,219,2023-01-03 11:34:37+00:00
128,ChennaiIPL,"One more hotspot added to #TrainLikeASuperKing this summer @ Trichy!

Read More 🔗 https://t.co/A7FWRidbnB

#SuperKingsAcademy https://t.co/jtGf4YNsGX",1805,88,2023-01-03 11:18:42+00:00
129,ChennaiIPL,"⚡️𝓜𝓪𝓷𝓲𝓯𝓮𝓼𝓽𝓲𝓷𝓰 𝓡𝓾𝓽𝓾𝓮𝓼𝓭𝓪𝔂 🫰

#INDvSL #WhistlePodu 🦁💛 https://t.co/iXM1y8COsU",16017,614,2023-01-03 03:52:36+00:00
130,ChennaiIPL,"New Year. 
New 💯 for
New Zealand! 

Conway has made it a ritual since 2022! 

#WhistlePodu #Yellove 🦁💛 https://t.co/7XmJ02wxUG",6293,328,2023-01-02 09:57:26+00:00
131,ChennaiIPL,"Thee Update: Touchdown 📍 for the T20I's ahead! 

#INDvSL #WhistlePodu #Yellove 🦁💛 https://t.co/p1amEqfie8",5827,194,2023-01-02 08:12:56+00:00
132,ChennaiIPL,"The Euphoria of Thala walking out to the middle of Anbuden! 

Vaathi Narrates!📹➡️ https://t.co/gnUd9QZLjY

#WhistlePodu #Yellove 🦁💛 @SPFleming7 https://t.co/sSV6hJaPWr",2621,139,2023-01-02 06:14:35+00:00
133,ChennaiIPL,"The first thing you wanna see on the first Monday Morning of 2023 💛

#SuperFam #Yellove 🦁💛 https://t.co/mwMsgBTt4D",6043,188,2023-01-02 04:03:34+00:00
134,ChennaiIPL,"The irrevocable Yellove story of our Super Coach and Chepauk! 💛

Watch Anbuden Fleming, 📹 out now! 

#WhistlePodu #Yellove
@SPFleming7",2109,135,2023-01-01 14:16:26+00:00
